code,name,所属行业,hyname
300344,立方数科,I 信息技术,云计算，创业板重组松绑，装配式建筑，雄安新区，雄安基建，绿色建筑
300339,润和软件,I 信息技术,华为海思概念股，华为概念，边缘计算，国产软件，智能电网，蚂蚁金服概念，区块链，独角兽概念，无人驾驶，富时罗素概念股，金融科技，区块链应用，区块链储备，SAAS
301205,联特科技,C 制造业,
300351,永贵电器,C 制造业,汽车电子，高铁，5G，军工，新能源汽车，一带一路，军民融合，苹果概念，特斯拉，华为概念，轨道交通，新基建，元器件，铁路基建
300826,测绘股份,M 科研服务,
300097,智云股份,C 制造业,超清视频，OLED，柔性屏，机器人概念，工业4.0，锂电池，智能物流，华为概念，OLED显示模组，工业机器人，锂电制造，大连自贸区
002251,步 步 高,,
002375,亚厦股份,,
000727,冠捷科技,,
600198,大唐电信,,5G，芯片概念，卫星导航，金融IC，车联网，物联网，移动支付，智慧城市，集成电路概念，智能穿戴，央企国资改革，创投，摘帽，云计算，芯片设计，5G主设备，新兴板概念，三网融合，IPV6，电子信息，换芯，移动互联网，元器件，NFC
000851,高鸿股份,,
002512,达华智能,,
000609,中迪投资,,
600331,宏达股份,,信托概念，磷化工，小金属概念，磷酸一铵，钼，铟，成渝特区
002535,林州重机,,
605577,龙版传媒,,
000676,智度股份,,
600186,莲花健康,,ST板块，壳资源，融资租赁，调味品
000004,国华网安,,
000158,常山北明,,
603178,圣龙股份,,新能源汽车，电机电控
603108,润达医疗,,互联网医疗，生物医药，股权转让，医疗器械概念，富时罗素概念股，标普道琼斯A股，体外诊断
002771,真视通,,
002009,天奇股份,,
002947,恒铭达,,
605333,沪光股份,,
002796,世嘉科技,,
603836,海程邦达,,
603322,超讯通信,,边缘计算，5G，物联网，华为概念，上海自贸区，镍氢电池，智能表
605128,上海沿浦,,
601127,赛力斯,,无人驾驶，百度概念，新能源汽车，车联网，阿里巴巴概念，华为概念，富时罗素概念股，标普道琼斯A股，智能汽车，新能源整车，机构重仓
605398,新炬网络,,
600561,江西长运,,宁德时代概念，通用航空，参股新三板，长江经济带，春运，地方国资改革
002869,金溢科技,,
605588,冠石科技,,
002192,融捷股份,,
603206,嘉环科技,,
001298,好上好,,
002685,华东重机,,
603099,长白山,,网约车，冰雪产业，体育产业，旅游，冬奥会，地方国资改革，机构重仓，吉林国资改革
002828,贝肯能源,,
002599,盛通股份,,
002514,宝馨科技,,
002456,欧菲光,,
002217,合力泰,,
